File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Attribute.cpp,134,95,68,14,19,2,20,55,7,16
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\CommandProcessor.cpp,72,48,31,13,12,1,12,57,7,16
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Database.cpp,400,257,201,54,61,16,82,651,7,16
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\DBManager.cpp,198,130,102,26,40,2,28,242,7,16
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Entity.cpp,271,192,141,44,46,6,33,279,7,16
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\EntityDescriptionView.cpp,47,23,15,2,14,1,10,58,7,16
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Filters.cpp,194,144,100,30,32,9,18,105,7,16
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\FolderReader.cpp,164,114,67,21,32,5,18,120,7,16
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Index.cpp,138,105,86,25,18,9,15,199,0,0
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\main.cpp,80,62,38,12,8,3,10,46,7,16
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\MemoryStream.cpp,188,137,100,30,43,4,8,31,7,16
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\RGTokenizer.cpp,192,151,102,32,29,2,12,39,7,16
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Row.cpp,154,89,62,16,25,0,40,126,7,16
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\SQLInterpreter.cpp,166,131,96,42,18,0,17,68,7,16
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\SQLStatement.cpp,666,514,390,148,111,59,41,431,7,16
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Statement.cpp,34,16,9,2,9,0,9,20,7,16
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Storage.cpp,328,216,169,53,50,20,62,505,7,16
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Tokenizer.cpp,44,26,17,7,10,0,8,25,7,16
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Value.cpp,296,252,203,44,30,6,14,86,7,16
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Attribute.hpp,93,55,42,0,29,4,9,33,7,16
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\BlockVisitor.hpp,39,23,11,3,9,1,7,18,7,16
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\CommandProcessor.hpp,65,36,24,0,20,1,9,20,7,16
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Database.hpp,68,38,23,0,20,2,10,37,7,16
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\DBManager.hpp,49,27,18,0,14,2,8,24,7,16
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\DBStatement.hpp,177,122,103,34,34,16,21,117,7,16
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\dirent_win.hpp,1161,663,336,77,218,11,280,1495,8,40
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Entity.hpp,105,67,49,0,28,7,10,93,7,16
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\EntityDescriptionView.hpp,38,18,9,0,12,1,8,30,7,16
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Errors.hpp,69,40,9,0,15,2,14,38,7,16
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Filters.hpp,87,53,38,0,24,3,10,40,7,16
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\FolderReader.hpp,44,21,15,0,16,2,7,24,7,17
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Helpers.hpp,130,102,62,18,18,1,10,33,7,16
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Index.hpp,47,34,23,0,11,8,2,57,0,0
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\keywords.hpp,124,101,21,0,12,1,11,59,7,16
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\MemoryStream.hpp,118,79,60,4,29,7,10,57,7,16
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Range.hpp,31,17,12,0,7,1,7,18,7,16
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\RecordsView.hpp,71,39,22,5,13,2,19,88,7,16
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\RGTokenizer.hpp,39,20,10,0,12,1,7,18,7,16
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Row.hpp,72,47,35,0,17,3,8,26,7,16
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\SQLInterpreter.hpp,48,28,17,0,13,7,7,35,7,16
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\SQLStatement.hpp,162,93,72,0,53,5,16,49,7,16
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Statement.hpp,39,20,12,0,12,1,7,18,7,16
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Storage.hpp,230,150,120,1,56,19,24,204,7,16
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Tokenizer.hpp,72,47,30,1,18,1,7,18,7,16
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Value.hpp,105,70,55,1,19,6,16,134,7,16
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\View.hpp,26,11,5,0,7,1,8,28,7,16
